id,title-jp,title-ro,vol,author1-jp,author1-ro,author2-jp,author2-ro,author3-jp,author3-ro,ed-jp,ed-ro,出版地 260,出版社 260,出版年 260,place,publisher,date,pages,シリーズ,series,price,検閲文書,Accompanying Materials,dup,CCD_No,CCD_Date,Circulation,Note,CCD_P_Stamp
301-0053,헤엄 : 水泳,Heom : suyong,1,蔡洙仁,,,,,,,,東京 ,在日本朝鮮體育會,1947,Tonggyong ,,1947,15 sheets . : ill. ; 18 x 27 cm.,,,Y40,,,,B-1727,5/28/48,,Uncatalogued,
301-0054,초등산수 1 전기용 (初等算數 1 前期用),Chodung sansu 1 chongi yong,1,初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1947,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1947,"[1], 37 p. ; 21 cm.",,,Y9,,,,A-8516,7/3/47,,Uncatalogued,J-2032
301-0055,초등산수 1 후기용 (初等算數 1 後期用),Chodung sansu 1 hugi yong,2,初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1948,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1948,"[2], 108 p. ; 21 cm.",,,Y22,,,,C-648,6/16/48,,350.03-2740 ; Uncatalogued,J-5002
301-0056,어린이國史,Orini kuksa,1(上巻),初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[3], 124 p. : map. ; 22 cm.",,,,,,,4728,8/6/46,,Uncatalogued,J-2032
301-0057,初等習字（全学年用）,Chodung supcha,,初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1948,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1948,"[1], 40 p. ; 26 x 17 cm.",,,Y35,,,1,C-650,6/30/48,,350.03-1970 ; Uncatalogued,
301-0058v_1,初等算数,Chodung sansu,1(上巻),初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,78 p. : ill. ; 21 cm.,,,,,,,4723,6/13/46,,Uncatalogued,J-2032
301-0058v_2,初等算数,Chodung sansu,2(中巻),初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1946,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1946,"[3], 84p. ; 21 cm.",,,,,,,4724,6/13/46,,Uncatalogued,J-2032
301-0059,朝鮮年表,Choson yonpyo,,張鳳仙,,,,,,,,群馬縣,建青群馬縣本部,1946,,,1946,"[2], 60 p. ; 21 cm.",,,,,,,ク-233,11/15/46,,Uncatalogued,J-2032
301-0060,소학생모범작문집,Sohaksaeng mobom changmun jip,,朝鮮児童文化協会,,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部文化部,1948,Tonggyong ,,1948,"[3], 49 p. ; 18 cm.",,,,,,,A-4248,,5000,"""兒協一萬円懸賞當選作文"" -- Cover; Uncatalogued",J-5002
301-0061,다른나라의생활 5-1 참고서,Tarun nara ui saenghwal 5-1 chamgoso,,教育思潮研究會,,,,,,,,,大洋出版社,4282 [1949],,,4282[1949],122 p. ; 19 cm.,,,,,,,,,,Uncatalogued,
301-0062,초등국어,Chodung kugo,1,初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1947,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1947,"[1], 47 p. ; 21 cm.",,,Y10,,,,A-5391,,,Uncatalogued,J-5002
301-0063v_1,초등국어,Chodung kugo,1,初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1949,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1949,"[1], 47 p. ; 21 cm.",,,Y25,2,,,P-3612,5/6/49,20000,073.01-735; Uncatalogued,
301-0063v_2,초등국어,Chodung kugo,2,初等敎材編纂委員會,Chodung Kyoae Pyonchan Wiwonhoe,,,,,,,東京 ,在日本朝鮮人聯盟中央總本部,1949,Tonggyong ,Chae Ilbon Chosonin Yonmaeng Chungang Chong Ponbu,1949,"[3], 118 p. ; 21 cm.",,,Y40,2,,,D-4232,5/6/49,20000,073.01-735; Uncatalogued,
